match_date,home_team,away_team,home_goals,away_goals,full_time_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_yellow_cards,away_yellow_cards,result,points,goals_for,goals_against,shots,shots_on_target
08/08/15,Leicester,Sunderland,4,2,H,19,10,8,5,6,3,2,4,Win,3,4,2,19,8
15/08/15,West Ham,Leicester,1,2,A,10,11,3,6,8,4,1,3,Win,3,2,1,11,6
22/08/15,Leicester,Tottenham,1,1,D,13,19,2,6,2,7,1,4,Draw,1,1,1,13,2
29/08/15,Bournemouth,Leicester,1,1,D,5,4,2,2,4,4,2,4,Draw,1,1,1,4,2
13/09/15,Leicester,Aston Villa,3,2,H,21,11,6,4,4,5,2,1,Win,3,3,2,21,6
19/09/15,Stoke,Leicester,2,2,D,11,12,4,5,3,4,1,4,Draw,1,2,2,12,5
26/09/15,Leicester,Arsenal,2,5,A,16,26,7,12,6,5,1,1,Loss,0,2,5,16,7
03/10/15,Norwich,Leicester,1,2,A,17,16,2,5,16,8,0,1,Win,3,2,1,16,5
17/10/15,Southampton,Leicester,2,2,D,14,26,6,7,6,7,2,0,Draw,1,2,2,26,7
24/10/15,Leicester,Crystal Palace,1,0,H,12,9,3,4,3,2,3,1,Win,3,1,0,12,3
31/10/15,West Brom,Leicester,2,3,A,14,13,6,5,6,4,0,2,Win,3,3,2,13,5
07/11/15,Leicester,Watford,2,1,H,12,8,6,4,4,2,0,1,Win,3,2,1,12,6
21/11/15,Newcastle,Leicester,0,3,A,9,18,1,7,4,9,4,1,Win,3,3,0,18,7
28/11/15,Leicester,Man United,1,1,D,7,10,3,2,1,8,0,1,Draw,1,1,1,7,3
05/12/15,Swansea,Leicester,0,3,A,10,16,2,5,3,8,2,3,Win,3,3,0,16,5
14/12/15,Leicester,Chelsea,2,1,H,9,11,5,5,1,8,2,0,Win,3,2,1,9,5
19/12/15,Everton,Leicester,2,3,A,13,10,5,5,10,2,2,1,Win,3,3,2,10,5
26/12/15,Liverpool,Leicester,1,0,H,25,7,4,3,7,6,2,1,Loss,0,0,1,7,3
29/12/15,Leicester,Man City,0,0,D,11,21,4,5,1,13,1,3,Draw,1,0,0,11,4
02/01/16,Leicester,Bournemouth,0,0,D,16,9,2,0,7,1,1,1,Draw,1,0,0,16,2
13/01/16,Tottenham,Leicester,0,1,A,21,10,5,2,16,8,1,0,Win,3,1,0,10,2
16/01/16,Aston Villa,Leicester,1,1,D,14,12,5,5,3,4,3,2,Draw,1,1,1,12,5
23/01/16,Leicester,Stoke,3,0,H,15,3,5,2,8,4,0,1,Win,3,3,0,15,5
02/02/16,Leicester,Liverpool,2,0,H,13,14,6,2,3,12,0,1,Win,3,2,0,13,6
06/02/16,Man City,Leicester,1,3,A,22,14,4,7,11,4,2,2,Win,3,3,1,14,7
14/02/16,Arsenal,Leicester,2,1,H,24,7,6,3,11,1,4,3,Loss,0,1,2,7,3
27/02/16,Leicester,Norwich,1,0,H,13,9,3,1,3,4,0,2,Win,3,1,0,13,3
01/03/16,Leicester,West Brom,2,2,D,22,11,5,3,11,3,0,2,Draw,1,2,2,22,5
05/03/16,Watford,Leicester,0,1,A,11,14,4,7,3,8,2,2,Win,3,1,0,14,7
14/03/16,Leicester,Newcastle,1,0,H,10,13,1,2,8,4,0,0,Win,3,1,0,10,1
19/03/16,Crystal Palace,Leicester,0,1,A,12,8,4,3,10,7,1,1,Win,3,1,0,8,3
03/04/16,Leicester,Southampton,1,0,H,11,10,4,2,7,8,2,2,Win,3,1,0,11,4
10/04/16,Sunderland,Leicester,0,2,A,15,17,1,7,1,7,1,1,Win,3,2,0,17,7
17/04/16,Leicester,West Ham,2,2,D,6,19,2,4,0,5,1,3,Draw,1,2,2,6,2
24/04/16,Leicester,Swansea,4,0,H,18,9,9,1,4,6,1,2,Win,3,4,0,18,9
01/05/16,Man United,Leicester,1,1,D,21,14,6,3,6,5,3,0,Draw,1,1,1,14,3
07/05/16,Leicester,Everton,3,1,H,32,9,8,5,12,4,0,3,Win,3,3,1,32,8
15/05/16,Chelsea,Leicester,1,1,D,17,18,4,5,7,6,0,0,Draw,1,1,1,18,5
